Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,02/12/2024 19:09,FALSE,Base,6.63,226,00:23:08,158,177,3.2,160,240,03:29,02:28,--,--,1.81,6.2,10.7,237,--,383,0,353,485,"3,680",No,02:50.1,7,00:22:00,00:24:03,--,--
Treadmill Running,01/12/2024 09:19,FALSE,Treadmill Running,1.01,103,00:13:47,131,146,2.1,80,150,13:40,06:28,--,--,1.24,5.2,6.1,334,--,76,0,61,157,"1,214",No,00:03.9,2,00:09:40,00:13:47,--,--
Treadmill Running,01/12/2024 08:23,FALSE,Base,2.44,121,00:13:01,151,168,2.4,129,240,05:20,02:34,--,--,1.67,6.7,10.3,247,--,319,0,238,468,"1,698",No,02:17.8,3,00:09:22,00:13:01,--,--
Running,27/11/2024 05:46,FALSE,Tangerang - Recovery,15.01,949,01:50:56,159,178,4.5,164,250,07:23,05:51,13,15,0.82,9.5,7.6,263,07:25,194,0,182,258,"18,418",No,03:02.3,16,01:50:39,02:05:41,23,30
Treadmill Running,26/11/2024 18:12,FALSE,Treadmill Running,1.64,71,00:11:05,123,162,1.7,98,182,06:47,02:33,--,--,1.65,5.9,9.1,248,--,310,0,173,477,"1,080",No,04:26.0,2,00:06:34,00:11:05,--,--
Running,24/11/2024 06:02,FALSE,Tangerang - Base,8,460,01:20:00,99,176,3.5,132,250,10:00,05:08,4,8,0.73,8.9,6.2,253,10:00,164,0,116,284,"10,342",No,01:31.2,9,01:18:58,01:20:00,6,12
Running,23/11/2024 06:10,FALSE,Tangerang - Base,7.5,433,01:06:52,143,178,3.8,120,250,08:55,05:05,3,5,0.78,8.7,6.7,261,08:54,175,0,121,283,"9,210",No,05:32.6,8,01:06:30,01:14:41,7,12
Running,16/11/2024 06:08,FALSE,Tangerang - Goal Pace Run,12.02,710,02:01:20,133,171,3.4,132,247,10:06,05:41,59,68,0.72,9.3,6.4,261,10:03,160,0,117,292,"15,866",No,00:13.1,15,01:59:24,02:23:26,27,51
Treadmill Running,13/11/2024 12:17,FALSE,Treadmill Running,2.17,101,00:28:26,98,124,0.4,87,210,13:06,09:39,--,--,0.76,8,5.6,389,--,60,0,46,135,"2,944",No,03:21.0,2,00:17:57,00:33:22,--,--
Running,10/11/2024 06:19,FALSE,Tangerang Running,11,694,01:27:40,146,182,3.7,137,250,07:58,04:21,51,57,0.84,8.9,7.4,260,07:56,196,0,158,333,"12,956",No,00:01.7,12,01:23:28,02:01:19,31,48
Running,09/11/2024 06:00,FALSE,Tangerang - Base,12,749,01:35:42,149,183,4.1,150,250,07:58,04:53,10,14,0.82,9.5,7.5,265,07:58,188,0,164,300,"15,004",No,03:36.2,13,01:33:51,01:49:09,25,30
Treadmill Running,08/11/2024 12:32,FALSE,Treadmill Running,0.68,133,00:28:54,106,124,0.8,73,180,42:44:00,08:56,--,--,0.72,8.2,5.5,364,--,43,0,30,149,"3,240",No,00:28:54,1,00:11:21,00:28:54,--,--
Running,03/11/2024 05:57,FALSE,Tangerang - Easy Run,10.03,622,01:15:52,162,186,4.9,141,227,07:34,05:08,6,5,0.88,8.8,7.4,253,07:34,191,0,155,264,"11,806",No,02:04.0,12,01:15:16,01:21:45,21,24
Running,27/10/2024 05:50,FALSE,Tangerang - Easy Run,10.11,603,01:07:02,153,179,4.1,168,245,06:38,05:02,11,19,0.89,9.1,8,258,06:38,203,0,196,268,"11,296",No,00:58.8,12,01:06:46,01:09:41,23,32
Running,26/10/2024 05:51,FALSE,Tangerang - Progression Run,7.01,411,00:46:45,149,170,3.9,165,231,06:40,05:37,18,19,0.9,9,8,255,06:39,206,0,194,249,"7,820",No,04:18.8,8,00:46:33,00:47:52,20,31
Running,21/10/2024 19:38,FALSE,Night LR,15.01,933,01:41:43,165,181,4.9,157,247,06:47,04:13,25,26,0.9,8.7,7.7,255,06:41,203,0,183,335,"16,758",No,00:00:30,30,01:41:17,01:50:47,4,18
