Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,06/01/2025 05:16,Tangerang - H1,18.01,"1,065",01:40:31,141,151,3.6,177,187,05:35,05:01,20,16,1.01,8.4,8.5,250,05:35,--,0,--,--,"17,750",--,No,00:02.3,19,--,--,--,--,01:40:27,01:40:31,31,43
Running,04/01/2025 05:37,Tangerang - LR,25.01,"1,523",02:05:31,155,173,5,178,189,05:01,04:50,26,24,1.11,7.9,8.8,240,05:01,--,0,--,--,"22,356",--,No,00:02.8,26,--,--,--,--,02:05:27,02:05:31,31,39
Running,02/01/2025 06:14,Tangerang - H3,10.88,651,00:56:41,148,176,3.7,167,190,05:13,03:41,13,14,1.11,7.9,8.5,248,05:13,--,0,--,--,"9,666",--,No,00:02.5,15,--,--,--,--,00:56:35,00:56:41,33,41
Running,31/12/2024 05:35,Tangerang - H2,18.01,"1,033",01:22:25,156,174,5,180,188,04:35,04:12,19,20,1.21,7.5,9.1,231,04:35,--,0,--,--,"14,734",--,No,00:02.2,19,--,--,--,--,01:22:21,01:22:25,31,39
Running,30/12/2024 05:48,Tangerang - H1,17.01,"1,014",01:36:03,141,150,3.5,180,200,05:39,05:06,17,15,0.98,8.4,8.2,248,05:39,--,0,--,--,"17,202",--,No,00:02.4,18,--,--,--,--,01:35:59,01:36:03,32,40
Running,28/12/2024 05:30,Tangerang - LR,24.01,"1,454",02:00:10,155,170,4.9,180,192,05:00,03:58,24,34,1.11,7.9,8.7,239,05:01,--,0,--,--,"21,512",--,No,00:02.9,25,--,--,--,--,02:00:04,02:00:10,31,43
Running,26/12/2024 05:43,Tangerang - H3,10.83,646,00:56:50,145,173,3.5,167,190,05:15,03:37,9,10,1.11,7.8,8.5,239,05:15,--,0,--,--,"9,692",--,No,00:02.7,15,--,--,--,--,00:56:44,00:56:50,32,39
Running,24/12/2024 05:53,Tangerang - H2,17.01,"1,012",01:18:52,161,175,5,177,192,04:38,03:27,22,21,1.21,7.7,9.3,235,04:39,--,0,--,--,"13,916",--,No,00:02.2,18,--,--,--,--,01:18:47,01:19:37,35,47
Running,23/12/2024 05:28,Tangerang - H1,16.01,966,01:30:04,142,150,3.5,179,188,05:38,05:12,13,12,0.99,8.4,8.3,249,05:38,--,0,--,--,"16,052",--,No,00:02.5,17,--,--,--,--,01:30:01,01:30:04,33,39
Running,21/12/2024 05:28,Tangerang - LR,23.01,"1,403",01:56:29,155,167,4.8,180,190,05:04,04:48,15,15,1.09,7.9,8.6,240,05:04,--,0,--,--,"20,860",--,No,00:02.4,24,--,--,--,--,01:56:26,01:56:29,34,39
