Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,21/09/2023 07:07,FALSE,Tangerang Running,4.17,215,00:30:28,139,149,3,177,184,07:19,06:11,8,20,0.77,0,"5,410",28,No,01:13.6,5,29,00:30:13,00:31:10,-23,-7
Running,17/09/2023 06:16,FALSE,Tangerang Running,17.39,794,02:02:09,139,157,3.2,178,190,07:01,06:08,11,30,0.8,0,"21,848",27,No,02:50.4,18,30,02:01:33,02:10:29,22,47
Running,15/09/2023 06:55,FALSE,Tangerang Running,5.17,251,00:40:27,131,148,2.6,177,184,07:49,06:55,11,21,0.72,0,"7,164",27,No,01:26.5,6,29,00:40:19,00:40:27,35,50
Running,14/09/2023 07:15,FALSE,Tangerang Running,5.53,282,00:42:32,139,155,2.8,175,180,07:41,06:51,6,23,0.74,0,"7,432",27,No,04:10.4,6,30,00:42:25,00:42:32,-47,-27
Running,07/09/2023 06:57,FALSE,Tangerang Running,5.37,281,00:39:37,143,163,3.1,175,184,07:23,05:29,11,18,0.77,0,"6,982",27,No,02:20.3,6,28,00:39:29,00:39:37,53,61
Running,06/09/2023 06:41,FALSE,Tangerang Running,5.22,274,00:37:49,143,160,3.1,175,180,07:14,06:12,11,20,0.79,0,"6,636",25,No,01:33.4,6,27,00:37:43,00:37:49,52,61
Running,03/09/2023 06:01,FALSE,Tangerang Running,10.08,496,01:03:35,149,174,4.2,174,184,06:19,05:18,7,18,0.91,0,"11,114",25,No,00:22.5,11,29,01:03:16,01:03:35,35,52
Running,02/09/2023 06:19,FALSE,Tangerang - Half Marathon Ra,13.57,669,01:34:25,148,176,4.2,159,247,06:58,04:57,14,26,0.91,0,"15,316",25,No,03:28.6,14,28,01:27:25,01:52:28,-27,11
Running,27/08/2023 05:33,FALSE,Gianyar - Easy Run,20.93,"1,031",02:21:47,148,164,3.8,174,186,06:47,05:22,144,165,0.85,0,"24,910",25,No,00:02:00,23,31,02:21:37,02:28:09,7,112
Running,26/08/2023 07:21,FALSE,Badung - Run,4.23,209,00:31:47,131,146,2.3,171,182,07:31,06:15,2,2,0.78,0,"5,494",29,No,00:05.6,6,31,00:31:35,00:50:02,-1,6
Running,23/08/2023 06:21,FALSE,Tangerang Running,5.6,279,00:40:24,135,153,3,170,178,07:13,05:55,11,22,0.81,0,"6,930",26,No,03:42.7,6,29,00:40:09,00:42:44,33,50
Running,22/08/2023 08:00,FALSE,Tangerang Running,5.01,255,00:34:21,140,162,3.3,174,182,06:51,05:29,10,19,0.84,0,"6,000",28,No,00:03.0,6,30,00:34:05,00:34:44,42,49
Running,20/08/2023 08:38,FALSE,Tangerang - Run,5.02,247,00:37:03,132,156,3,168,182,07:23,05:16,10,14,0.81,0,"6,266",29,No,00:01.0,8,31,00:36:27,00:38:17,5,11
Running,19/08/2023 06:30,FALSE,Tangerang Running,5.5,285,00:39:42,141,163,3.1,175,188,07:13,05:54,45,49,0.79,0,"6,928",25,No,03:01.2,6,29,00:39:37,00:40:30,14,37
Running,17/08/2023 05:13,FALSE,Tangerang Running,21.01,972,02:18:13,141,168,3.6,178,203,06:35,05:13,29,20,0.85,0,"24,734",24,No,00:04.0,22,31,02:17:30,03:15:41,41,57
Running,16/08/2023 06:44,FALSE,Tangerang - Speed Repeats,5.64,266,00:42:50,128,144,2.6,171,182,07:36,06:16,15,17,0.77,0,"7,312",26,No,00:25.7,17,27,00:42:36,00:43:19,45,52
Running,15/08/2023 07:44,FALSE,Tangerang - Easy Run,6.76,354,00:51:58,138,165,3.2,165,180,07:41,06:03,15,25,0.78,0,"8,664",27,No,00:02:00,9,29,00:51:29,00:53:02,-28,-18
Running,13/08/2023 05:39,FALSE,Tangerang Running,18.01,785,01:53:21,140,166,3.3,176,188,06:18,05:15,19,24,0.9,0,"20,068",23,No,00:03.6,19,30,01:52:59,02:20:38,-7,18
Running,12/08/2023 07:28,FALSE,Tangerang - Time Trial,5.37,255,00:35:44,143,165,3.3,167,214,06:40,04:54,12,18,0.9,0,"5,994",27,No,00:02.9,15,29,00:34:34,00:40:23,16,31
Running,11/08/2023 08:01,FALSE,Tangerang - Time Trial,7.39,394,00:50:31,150,169,4,165,184,06:50,04:50,26,27,0.89,0,"8,522",28,No,00:05.9,15,30,00:49:50,00:55:48,20,31
Running,08/08/2023 07:51,FALSE,Tangerang - Easy Run,6.8,351,00:49:53,138,161,3.5,168,179,07:20,05:25,22,21,0.81,0,"8,440",28,No,00:02:00,9,29,00:49:22,00:53:52,41,49
Running,06/08/2023 05:39,FALSE,Tangerang Running,19.05,842,02:01:23,145,172,3.9,173,186,06:22,05:30,20,26,0.91,0,"21,240",24,No,00:15.7,20,29,02:00:16,02:17:08,35,57
Running,04/08/2023 06:56,FALSE,Tangerang Running,5.03,259,00:34:51,142,166,3.2,168,175,06:56,05:39,9,16,0.86,0,"5,864",27,No,00:08.7,6,29,00:34:41,00:34:51,36,49
