Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,15/09/2023 17:51,Tangerang Running,5.3,396,01:00:03,107,147,1.6,91,249,11:20,02:59,108,104,0.95,0,"6,234",29,No,01:37.5,6,32,00:41:05,01:07:52,25,47
Running,14/09/2023 06:38,Tangerang Running,7.01,389,00:42:02,124,147,2.5,160,189,06:00,04:10,39,30,1.04,0,"6,782",26,No,00:01.2,8,29,00:41:17,00:48:57,33,46
Running,12/09/2023 07:12,Tangerang Running,5.02,324,00:30:51,127,160,2.8,177,187,06:09,04:16,34,40,0.92,0,"5,444",28,No,00:03.7,6,30,00:30:49,00:30:51,30,45
Running,10/09/2023 06:28,Tangerang Running,7.06,493,00:43:12,136,162,3.5,168,181,06:07,04:48,36,42,0.97,0,"7,268",27,No,00:22.6,8,29,00:42:53,00:43:12,16,28
Running,09/09/2023 05:37,Tangerang Running,21.1,"1,355",02:20:38,133,147,3.2,162,183,06:40,05:39,158,157,0.93,0,"22,772",27,No,00:44.6,22,31,02:18:36,02:27:18,48,67
Running,08/09/2023 07:37,Tangerang Running,5.05,329,00:37:41,115,151,2.3,151,242,07:28,04:52,36,34,0.89,0,"5,804",29,No,00:17.8,6,31,00:36:34,00:37:41,40,50
Running,06/09/2023 17:40,Tangerang Running,9.26,609,01:21:53,112,145,2,127,243,08:51,03:35,76,88,0.89,0,"11,016",30,No,01:50.9,10,32,01:16:37,01:21:53,27,42
Running,05/09/2023 06:30,Tangerang Running,7.25,513,00:42:20,140,155,3.6,180,189,05:50,05:15,30,38,0.95,0,"7,568",26,No,01:31.9,8,29,00:42:17,00:42:20,46,61
Running,03/09/2023 07:42,Tangerang Running,0.85,54,05:03.8,125,133,1,167,197,05:58,05:32,5,3,1,0,854,27,No,05:03.8,1,27,00:05:03,00:05:04,54,59
Running,03/09/2023 06:00,Tangerang Running,10.05,654,00:55:58,138,160,3.6,175,185,05:34,04:51,29,17,1.03,0,"9,794",25,No,00:13.4,11,29,00:55:55,00:55:58,45,61
Running,02/09/2023 05:43,Tangerang Running,30.01,"1,804",03:29:16,121,144,3.4,166,183,06:58,05:57,283,237,0.87,0,"34,684",27,No,00:01.5,31,33,03:29:01,03:46:47,25,49
Running,31/08/2023 06:47,Tangerang - Run Workout Inte,10.03,621,01:08:47,124,160,2.8,162,193,06:51,04:13,68,75,0.89,0,"11,120",27,No,00:04.1,28,30,01:08:28,01:08:53,28,47
Running,30/08/2023 07:22,Tangerang Running,5.02,323,00:33:34,120,143,2.4,175,185,06:42,05:06,24,29,0.85,0,"5,900",28,No,00:04.0,6,30,00:33:26,00:33:34,34,46
Running,27/08/2023 05:33,Gianyar Running,21.25,"1,389",02:33:31,125,154,3.1,158,176,07:13,05:15,182,186,0.88,0,"24,388",27,No,01:56.0,22,30,02:31:02,02:35:42,21,129
Running,26/08/2023 07:21,Badung Running,5.01,348,01:04:05,93,140,1.2,86,202,12:47,03:48,31,39,0.93,0,"6,106",29,No,00:04.1,6,32,00:40:07,01:04:05,18,25
Running,23/08/2023 06:30,Tangerang Running,10.51,661,01:17:52,116,149,2.3,162,193,07:25,04:38,78,75,0.83,0,"12,776",27,No,02:43.7,11,30,01:17:10,01:19:24,33,46
Running,21/08/2023 07:30,Tangerang - Tempo Run 8K,10.02,638,01:01:11,131,151,3.1,165,177,06:06,04:50,74,64,0.99,0,"10,086",28,No,00:06.8,11,31,01:00:55,01:02:58,38,50
Running,19/08/2023 06:38,Tangerang Running,12.2,823,01:25:03,131,154,3.1,153,202,06:58,03:41,89,84,0.93,0,"13,366",28,No,01:07.2,13,32,01:22:22,01:27:55,34,48
Running,17/08/2023 08:09,Tangerang Running,3.02,200,00:20:43,120,152,2.3,159,192,06:52,04:47,27,26,0.91,0,"3,332",29,No,00:06.3,4,30,00:20:26,00:20:43,26,37
Running,17/08/2023 05:13,Tangerang Running,17.08,"1,091",02:00:36,119,178,2.8,162,183,07:04,05:33,77,67,0.87,0,"19,760",26,No,00:37.3,18,31,01:59:11,02:55:29,30,47
Running,15/08/2023 06:53,Tangerang - Run Workout Inte,9.66,579,01:02:53,126,162,2.8,159,205,06:31,03:58,53,44,0.96,0,"10,124",27,No,00:32.4,25,30,01:01:13,01:04:19,34,49
Running,13/08/2023 05:40,Tangerang Running,22.01,"1,400",02:40:23,120,162,3,157,188,07:17,05:30,109,94,0.88,0,"25,216",24,No,00:03.4,23,28,02:37:13,02:57:48,16,40
