Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,02/07/2024 06:11,FALSE,Tangerang Running,9.18,665,01:02:59,143,160,--,161,172,06:52,05:50,41,36,0.9,--,--,--,--,--,0,--,--,"10,132",--,No,01:17.9,10,--,01:02:57,01:02:59,29,44
Running,30/06/2024 06:33,FALSE,Tangerang Running,16.51,"1,355",01:40:22,165,191,--,167,179,06:05,05:14,65,63,0.98,--,--,--,--,--,0,--,--,"16,748",--,No,03:43.0,17,--,01:40:17,01:53:31,16,36
Running,28/06/2024 06:53,FALSE,Tangerang Running,3.11,204,00:17:30,149,168,--,165,197,05:37,03:12,33,28,1.05,--,--,--,--,--,0,--,--,"2,988",--,No,00:05.8,13,--,00:17:23,00:21:27,29,38
Running,28/06/2024 06:18,FALSE,Tangerang Running,4.43,323,00:26:31,151,172,--,164,175,06:00,04:37,32,28,1.01,--,--,--,--,--,0,--,--,"4,318",--,No,02:40.3,5,--,00:26:30,00:26:31,29,91
Running,25/06/2024 06:11,FALSE,Tangerang Running,7.06,477,00:46:44,138,153,--,162,170,06:37,05:35,16,11,0.93,--,--,--,--,--,0,--,--,"7,528",--,No,00:24.8,8,--,00:46:41,00:46:44,27,45
Running,23/06/2024 05:47,FALSE,Tangerang Running,10.1,758,00:54:09,171,187,--,169,177,05:22,04:29,47,46,1.11,--,--,--,--,--,0,--,--,"8,982",--,No,00:30.0,11,--,00:54:06,00:54:09,33,50
Running,22/06/2024 06:21,FALSE,Tangerang Running,3.03,227,00:20:38,143,156,--,162,177,06:49,06:21,19,19,0.9,--,--,--,--,--,0,--,--,"3,340",--,No,00:11.8,4,--,00:20:38,00:22:09,27,45
Running,20/06/2024 19:15,FALSE,Tangerang Running,8.08,603,00:47:46,160,180,--,165,179,05:55,04:56,73,70,1.02,--,--,--,--,--,0,--,--,"7,800",--,No,00:31.3,9,--,00:47:44,00:47:46,27,41
Running,16/06/2024 06:15,FALSE,Tangerang Running,15.45,"1,049",01:32:22,150,165,--,168,181,05:59,04:51,48,48,1,--,--,--,--,--,0,--,--,"15,344",--,No,02:36.2,16,--,01:32:20,01:36:47,26,36
Running,14/06/2024 06:22,FALSE,Tangerang Running,5.08,408,00:32:48,157,168,--,161,170,06:28,05:48,21,10,0.96,--,--,--,--,--,0,--,--,"5,252",--,No,00:28.8,6,--,00:32:46,00:32:48,27,45
Running,13/06/2024 19:17,FALSE,Tangerang Running,6.16,441,00:42:26,142,153,--,158,166,06:53,06:21,43,41,0.92,--,--,--,--,--,0,--,--,"6,682",--,No,01:04.6,7,--,00:42:25,00:42:26,27,41
Running,12/06/2024 18:26,FALSE,Tangerang - Easy Run,8.66,616,00:55:17,147,162,--,163,173,06:23,05:22,77,77,0.96,--,--,--,--,--,0,--,--,"8,952",--,No,00:16.6,10,--,00:55:15,00:55:17,27,43
Running,11/06/2024 18:30,FALSE,Tangerang Running,6.07,432,00:41:31,140,151,--,163,172,06:50,06:17,42,40,0.9,--,--,--,--,--,0,--,--,"6,730",--,No,00:35.5,7,--,00:41:28,00:42:42,27,41
