Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,03/11/2024 12:10,Tangerang Running,42.21,"2,831",04:24:31,145,164,5,173,190,06:16,03:43,38,36,0.93,8.7,8,254,06:15,247,0,241,431,"46,098",No,01:39.4,43,04:21:12,04:45:35,32,43
Running,02/11/2024 05:56,Tangerang Running,5.04,319,00:38:19,113,129,2.5,151,218,07:36,05:54,3,4,0.84,8.7,7.2,255,07:36,214,0,185,275,"5,986",No,00:29.3,6,00:38:16,00:39:02,30,34
Running,01/11/2024 05:54,Tangerang Running,10.01,640,01:06:02,125,133,3,175,192,06:36,03:58,9,10,0.86,9.1,7.8,259,06:35,231,0,229,363,"11,586",No,00:10.7,11,01:05:57,01:11:45,35,40
Running,31/10/2024 06:51,Tangerang Running,2.23,160,00:16:34,135,142,2,167,179,07:26,05:36,1,3,0.81,9.7,7.8,273,07:20,209,0,206,293,"2,764",No,01:47.2,3,00:16:32,00:16:34,30,32
Running,31/10/2024 06:07,Tangerang Running,6.02,395,00:32:27,145,157,3.6,184,190,05:24,04:46,3,81,1,7.9,8,237,05:23,278,0,276,321,"5,940",No,00:07.0,7,00:32:25,00:32:27,30,36
Running,26/10/2024 05:35,Tangerang - Quality Session,23.01,"1,518",02:12:07,142,158,4.8,180,190,05:44,04:27,15,41,0.96,8.4,8,245,05:45,262,0,261,354,"23,756",No,00:06.4,24,02:11:58,02:14:48,29,34
Running,25/10/2024 05:22,Tangerang Running,18.52,"1,192",01:53:02,131,155,4,177,196,06:06,03:51,13,13,0.92,8.7,7.9,251,06:06,248,0,246,401,"20,046",No,02:43.9,19,01:52:41,02:06:00,33,39
Running,24/10/2024 05:23,Tangerang Running,9.2,614,00:56:16,133,145,3.5,180,190,06:07,04:28,10,34,0.91,8.6,7.7,248,06:05,249,0,246,358,"10,106",No,01:19.7,10,00:56:02,00:56:16,33,41
Running,23/10/2024 05:13,Tangerang - Quality Session,14.32,"1,008",01:24:02,151,168,5,166,240,05:52,03:47,11,41,1,8.1,7.9,243,05:47,274,0,250,412,"14,392",No,00:07.5,41,01:23:10,01:26:49,28,34
Running,22/10/2024 06:14,Tangerang Running,7.18,474,00:47:38,128,142,2.9,173,188,06:38,05:15,7,30,0.86,9.2,7.9,260,06:38,229,0,227,286,"8,334",No,01:11.8,8,00:47:32,01:39:56,34,39
